,translation,zh,sim
645,缔约方会议通过几个同事加入，涉嫌行为不检的教授。,此时该警察的几名同事赶到，他们以妨害治安为由逮捕了这位教授。,1
646,我们现在知道，教授闯进自己的家，与他的司机的帮助下，因为门被卡住了。,我们现在知道这位教授在司机的帮助下闯入了自家的房门，因为门被卡住了。,1
647,什么是不寻常这里不是警察的高压手段。,这次事件中不同寻常的并不是警察的暴虐。,1
648,大多数人在美国知道，如果你顶嘴警方介绍，他们将得到讨厌非常快。,多数美国人都知道如果跟警察顶嘴，他们很快就会变得气急败坏。,1
649,该名男子被黑可能会或可能不会做出对他的手铐警察走得更快，比他通常可能已经做的事实。,这位教授是黑人的事实可能有也可能没有导致警察更快地掏出手铐。,1
650,这也不会是不寻常的。,这一点也没有什么不同寻常。,1
651,是什么让这种情况下，特别是亨利·路易斯·“跳过”盖茨是在该国最有名的教授之一，他的成名作的书，他的文章，以及众多在电视上露面。,这个案件的特殊性在于亨利·路易斯·盖茨是美国最著名的教授之一，著作等身，文章充栋，并多次在电视上露面。,1
652,他是一个名门望族，在学术界和媒体的世界动机和振动筛，总统奥巴马的一位朋友。,他称得上是位显贵，在学术和媒体圈中一呼百应，还与巴拉克·奥巴马总统私交甚笃。,1
653,这就是为什么他警告说，警察，军士。詹姆斯·克劳利，剑桥警察部队的老兵，而不是与他的混乱。,他因此警告詹姆斯·克劳利中士，这位坎布里奇的老资格警官不要招惹他。,1
654,在美国的阶级和种族重叠。,美国的阶级和种族问题错综复杂。,1
655,在这种情况下，这是不可能撬开他们。,在这个案件中，不可能将它们区分清楚。,1
656,盖茨，深深感觉到，在他的国家的种族关系的可怕历史确实是一个专家，本能地认为他是偏见的受害者。,盖茨非常了解美国糟糕的种族关系史，甚至可以说是这方面的专家，因此他本能地认为自己成了种族歧视的受害者。,1
657,从他的话看来，他也同样意识到没有得到应有的尊重的由于区分哈佛大学教授，媒体名人。,从他的话中还可以看出他因未能获得一位哈佛教授兼媒体名人应有的尊重而耿耿于怀。,1
658,正如他所说的他的女儿在网上发表的采访：“[克劳利]应该得到离开那里，说：“对不起，先生，祝你好运。,他在网上公布的一次采访中对自己的女儿说：“[克劳利]当时应该对我说，‘对不起，先生，祝您好运。 我喜欢您的[电视]系列片——回头见！,1
659,爱你[电视]系列检查与您以后！””,’说完后立即离开。 ”,1
660,唉，Sgt.Crowley从来没有听说过盖茨教授。,唉，克劳利中士从来没有听说过盖茨教授的大名。,1
661,一位当地男子的兄弟所有的发球局中警察部队，一个体育迷，和一个业余篮球教练，克劳利没有在同一个社交圈子盖茨移动。,作为一名兄弟都在警方供职的当地男性，一名体育爱好者，和一名业余篮球教练，克劳利和盖茨根本不属于同一个的社交圈。,1
662,碰巧，指控被正式删除，并且那里，如果奥巴马总统，累了，他的医疗改革法案的战斗周后受挫，并没有在代表他的“朋友”盖茨称情况可能已经休息，并打电话报了警“笨。”,实际上，对盖茨的指控已被及时取消，如果不是奥巴马总统在因连续几周争取通过医疗法案未果而感到厌倦和沮丧时去替“老友”盖茨说话，将警方斥之为“愚不可及”的话，这个案件可能已经烟消云散了。,1
663,他和盖茨随后谈到从事件“学习”的。,然后他和盖茨都谈到了这次事件的“教训”。,1
664,盖茨甚至可以策划种族貌相的电视纪录片。,盖茨甚至可能正在筹划拍摄一部有关粗暴执法的电视纪录片。,1
665,有一件事情需要学习，如果我们不知道这根本已经是种族敏感性有多接近美国生活的表面，尽管黑人总统的选举。,如果我们还没有吸取这样的教训，那么这件事的教训之一就是告诉我们尽管选出了一位黑人总统，但种族敏感问题多么容易在美国生活中浮出水面。,1
666,黑色的愤怒，白内疚，以及黑，白恐惧的复杂性，都让烦恼，大多数美国人不喜欢谈论比赛的。,黑人的愤怒、白人的负疚、还有黑人和白人的恐惧是如此错综复杂，以致于多数美国人选择逃避种族话题。,1
667,现场太满地雷。,这片领域里有着太多的地雷。,1
668,一位奥巴马的伟大成就是，他把它做成一个严肃的话题，通过他的修辞的辉煌和微妙。,奥巴马最大的成就之一是他通过自己智慧巧妙的措辞，对绝大多数人讳莫如深的种族问题进行了严肃的探讨。,1
669,而且仍有很多东西可以谈：在美国监狱的黑人男子的不伦不类数量不成比例;缺乏对穷人，特别是黑色区域教育机会;惨不忍睹的卫生保健系统;并使用对黑人，没有哈佛ID的特权谁警察非常现实的残酷。,可以谈论的话题还有很多：包括美国监狱中比例畸高的黑人在押犯、穷人聚居区、绝大部分是黑人聚居区教育机会的匮乏、可怕的医疗体制、以及警官对没有哈佛身份的黑人所采用的真实的暴力行径。,1
670,这可能是事实，许多白人警察，即使他们进行培训，以避免种族貌相，为军士。克劳利是，需要说服的是一个黑人可以在家里在剑桥的住房越来越精致，或任何其他美国城市之一。,也许的确需要说服像克劳利中士这样的许多白人警官，即便他们曾经接受过避免暴力执法的训练，黑人也可以居住在位于坎布里奇、或者其他任何美国城市的高尚住宅区的家中。,1
671,但盖茨的事情进入到这个讨论中的正确方法？,如果不是盖茨教授，谁还能够引起关注？ 正因为他是名人显贵，才能吸引全国民众关注这一严重的问题。,1
672,有人可能会认为，它,如果同样的事情发生在哈莱姆区，或另外一个主要由黑人构成的穷人聚居区内一个无名小卒的身上，那么也许根本就不会有人知道。 这次事件发生在坎布里奇教授身上才吸引了人们的注意力。,1
673,然而，有，是一种危险，这将有不利关于种族必要的国家讨论的影响。,但这个案件的确也存在着对有关种族的全国讨论产生负面影响的危险性。,1
674,通过作出这样一个大问题，出了什么事情，其实是一个相对较小的事件盖茨可能被指责轻视滥用的更糟糕的实例。,因为把实际上不那么重要的问题过分夸大，盖茨可能受到将比这恶劣很多的滥用职权事件琐碎化的指责。,1
675,事实上，我们甚至不知道肯定这是否就是这样一个实例。,事实上，我们根本不知道这个案件是否涉及到种族范畴。,1
676,克劳利从未提到过盖茨的肤色。有没有暴力的问题。,克劳利自始至终从未提到过盖茨的肤色，也没有出现过任何暴力侵害行为。,1
677,有只是很原始神经过敏不敬提示，对教授的一部分，和警察的。,只是教授和警察双方都对不尊重的暗示表现得过于敏感。,1
678,有关教授，谁是不与被弄乱的愤怒不是讨论不计其数，可怜的，匿名的人，其中大多数人觉得它太容易被忽视的困境的最好办法。,一位不愿受到打扰的教授的怒火并非探讨无数贫困的无名人士所处困境的最佳方式，这些无名的小人物太容易被我们所忽略。,1
679,一个宝莱坞新娘萨科齐？,萨尔科奇的宝莱坞新娘,1
680,巴黎 - 自从法国总统萨科齐把自己关他的国家的最有资格，本科列表中浪漫之旅到欧洲迪斯尼时公开承认他与名模出身的流行音乐家卡拉·布鲁尼的事情，他遇到了麻烦。,    巴黎&#45;&#45;自从法国总统萨尔科奇在欧洲迪斯尼的浪漫之旅期间公开承认与前超级模特、流行音乐歌手布吕尼的恋情而把自己从法国最受追逐的钻石王老五名单中除下后，他就沾染上了麻烦。,1
681,他的支持率已经跌破50％，为第一次。,    他的民意指数第一次下降到50%以下。,1
682,年长的法国公民没有找到他们的领袖的爱情非常有趣的公共奇观。,上年纪的法国人并不欣赏国家领导人公开展示恋情。,1
683,在国外，埃及国会议员如此行使对国家与女友同床共枕法国头的前景，一些发泄在议会地板上他们的不满。,在外国，几名埃及议员们对于法国国家元首同其女友同床共枕非常激动，乃至在国会上公开表示不满。,1
684,同样，印度是所有无计可施了如何萨科齐1月26日即将访问印度次大陆的荣誉在国家的共和国日庆祝活动的客人中处理协议。,    同样，印度也对如何处理萨尔科奇即将作为国家贵宾参加该国1月26日的共和国日庆祝活动的礼宾问题为难。,1
685,如果初恋女友有她自己的车队，作为第一夫人会吗？,第一女友是否应当像第一夫人一样有自己的车队呢？,1
686,与此同时，抗议情人节作为一个颓废的西方节日一样硬右印度教团体警告说，如果萨科齐到达与他的女友拖，他们将走上街头欢迎他。,极右翼印度教团体反对情人节，认为这是腐朽堕落的西方节日。 他们警告说，如果萨尔科奇带着女朋友来访，他们就会上街欢迎。,1
687,这种争论已经威胁过大肆赞扬峰会蒙上两个世界上最伟大的民主国家之间的阴影。,    这一争端已经威胁给大受赞扬的世界两大民主国家的峰会蒙上阴影。,1
688,随着危在旦夕有利可图的交易为驱动的法国经济大件产品 - 军事装备，核电站，和空客飞机 - 法国在印度成功登顶了浓厚的兴趣。,推动法国经济的的军火、核电站以及空中客车等大笔利润丰厚的交易取决于这一访问，因此，对于这次成功的印度之行，法国利益攸关。,1
689,因此，作为传闻飞秘密结婚仪式要么已经缔结或者在作品中，有可能在印度了法国总统的甚众热爱生活的麻烦酿造是匆忙的背后有几个合法结婚？,    因此，当秘密婚礼已经完成或者正在准备的传言飞散之际，印度对于法国总统公共恋情满城风雨是否推动了二人结婚呢？,1
690,在萨科齐的青睐媒体渠道的消息,    萨尔科奇所喜欢的&lt;&lt;星期日&gt;&gt;杂志报导说两人打算结婚引发大众猜测婚礼究竟何时举行。 二人已经交换定情物。,1
691,它的“严重”，被击打的总统承认。,    热恋中的法国总统承认这一恋情是“严肃认真”的。,1
692,但他拒绝了，甚至在记者直接询问，透露确切的日期。,但是他甚至在记者的直截了当的提问下也拒绝公开确切的日期。,1
693,“你可能会发现它发生的事情后，”他嘲弄。,他大声训斥说：“完事后你们也许就会知道了。,1
694,有传言说这对夫妻已成立2月8日或9的婚礼。也有人说，萨科齐已在爱丽舍宫秘密结婚，尽管他回避婚礼的问题扑空的媒体。,”有传言说两人已经订下2月8日或者9日结婚。 还有人说萨尔科奇在回避结婚问题的时候已经在爱丽舍宫秘密结婚而让媒体扑空。,1
695,如果这是真的，那么萨科齐错过了千载难逢的机会浪漫。,    如果确实如此，萨尔科奇就错过了一辈子才有一次的浪漫机会。,1
696,如果夫妻咝咝照相机与卢克索和佩特拉为背景，只是想象的事情有多热可以在地球，泰姬陵上最浪漫的地方得到的。,如果二人以埃及祖玛和约旦佩特拉为背景在镜头前任人拍照，那么，想像一下在世界上最为浪漫的地点印度泰姬陵前将会有多么热闹。,1
697,而且，鉴于目前的愤怒在法国宝莱坞所有的东西，豪华的印度婚礼将配件。,而且，鉴于法国目前对于印度的宝莱坞电影着迷，一场浪漫的印度婚礼将会再合适不过了。,1
698,布吕尼自己的人生轨迹酷似任意数量的宝莱坞明星谁取得了从模型到演员的过渡。,布吕尼自身的生活道路也非常像宝莱坞明星那样从模特转到演员。,1
699,谁唱得漂亮的黑发是一个完美的宝莱坞的改造。,一个漂亮的褐色头发歌唱女郎对于宝莱坞化妆而言是再好不过的了。,1
700,印度政府将是什么，如果不能解除看到的第一个女朋友做了一个妻子。,    印度政府如果见到第一女友成为第一夫人而不感到如释重负就无足轻重了。 印度最大的报纸之一印度快报怕有人不懂而指出，“女朋友不是妻子或配偶。,1
701,作为印度最大的日报之一，,”一旦结婚，所有有关法国代表团礼宾问题的担心都将会烟消雾散。,1
702,尽管宝莱坞小明星的有时简直是色情屏幕上扭动，印度仍然是一个非常保守的社会。,    除了宝莱坞刚刚出道的女演员会在银幕上有一些露骨的色情折腾表演外，印度还是一个极为保守的社会。,1
703,离婚是诅咒。 （萨科齐现在是两次离婚。）,离婚是丢人现眼的事情(萨尔科奇现在已经两次离婚了)。,1
704,而且，虽然二奶特权阶级中比比皆是，他们不公开通过他们的权力的队友面支撑。,而且，尽管有钱有势的人周围有不少情人，但是她们并不公开出现在这些人的周围。,1
705,接吻和爱抚公众，甚至配偶，是大忌。,公共场合下即使夫妻之间亲吻拥抱也是为社会所不容。,1
706,在这方面，印度更像是与萨科齐想一刀两断比当前的法国。,    在这一方面，印度倒像是萨尔科奇所想要决裂的法国，而不是当前的法国。,1
707,大多数印度人，因为它似乎许多法国人，宁愿不阐明他的前任（部分阅读“伪善”萨科齐感叹：法国前总统弗朗索瓦·密特朗，谁曾与他的情妇一个孩子关于他的公众一无所知，直到人的葬礼）。,在许多法国人看来，大多数印度人情愿不放下对萨尔科奇前任们的“伪善”指责(也就是，直到法国前总统密特朗葬礼时人们才知道他有一名情妇和私生女儿)。,1
708,萨科齐，所有的人都应该知道，办公室庄严的很大一部分来自威风凛凛派生。,    萨尔科奇要比所有的人都应该知道总统职位份量的很大一部分来自于庄重和场合。,1
709,治国方略就是出场是为了是骗人的一种境界。,在国事活动中，外表应当是遮人耳目的。,1
710,当萨科齐，否则谁拥有这样的微调媒体的本能，抗议他的任何其他人没有什么不同，他来到濒临混乱的办公室和总统的人。,萨尔科奇平时具有良好的媒体本能，他抱怨说他和平常人并没有什么两样。 这时候，他就危险地把总统个人和总统职务混为一谈了。,1
711,大多数法国人只能梦想在印度的异国婚礼。,    大多数法国人只能梦见在印度举办一场充满异国情调的婚礼。,1
712,萨科齐可能让梦想成真。,萨尔科奇则可以让这一梦想成为现实。,1
713,如果他真的是头以上高跟鞋爱上了布鲁尼因为他声称，并计划迫在眉睫娶她，为何不把他即将访问印度的优势，使这个婚礼还记得吗？,如果他果真像他所说的那样对布吕尼爱得死去活来而且想要大操大办与她结婚，那么为何不利用即将到来的印度之行并让这一婚礼永志不忘呢？,1
714,他能满足他的新娘在一个精心装饰的大象的美服坐在庄严，她看起来引人入胜裹在印度服饰珠光宝气。,他可以让新娘座在一头精心打扮的大象上迎接，而新娘则身著印度鲜艳服装，珠光宝气。,1
715,在“喜欢名牌”总统，萨科齐作为取了绰号，可以穿所有的黄金，他希望和堆在他的新娘但更多的钻石。,被人称为喜欢名牌服装的总统的萨尔科奇可以穿上他所想要的所有金饰并且让新娘戴上更多的钻石。,1
716,该相机将推出，印度人会微笑，法国将被视为一个宝莱坞景象超出了其最疯狂的梦想。,    照相机会闪个不停，印度人会抱以微笑，而法国将会受到做梦也想不到的宝莱坞式的热闹场景。,1
717,如果一切都太迟了婚礼，总是有接待。,而且，如果没有赶上婚礼，还有婚宴呢。,1
718,重生的CAP,重生的共同农业政策,1
719,WAGENINGEN，荷兰 -  1957年出生，共同农业政策（CAP）现在50多岁，和欧盟委员会提议它所要求的中年儿童健康检查。,瓦格宁根，荷兰——诞生于1957年的共同农业政策（CAP）如今已年逾五旬，欧盟委员会正提议对它这位中年后代进行所谓的体检。,1
720,但是，表面的修补，将不符合欧盟的未来需求。帽必须重生。,不过，表面的修补碍难满足欧盟未来的需要，共同农业政策必须转世重生。,1
721,其换发工作是因为从现在开始，与已完成的项目准备在2013年但一个更深刻的重新思考是必要的。,与其重生有关的工作预定即刻开始，完成的计划在2013年将可付诸实施，但我们还需对其进行一番深入得多的再思考。,1
722,帽的原始目的是为联盟，这是食品的进口商和寻求一定程度的自给自足的六个原始会员国提供的食品的安全来源。,共同农业政策原本旨在为欧盟最初的六个成员国提供可靠的食物来源，当时这六国是食品进口国并试图实现一定的自给自足。,1
723,好，健康，便宜的食品必须是所有公民开放。,所有公民都应获得优质、健康而又廉价的食品；,1
724,提高农业生产率将惠及农村地区，让农民得到在联盟中的财富增长的比较份额。,提升的农业生产率将惠及农村地区，并使农民在欧盟不断增长的财富中获得相称的一份。,1
725,手段来实现这些目标进行开发，并达到了粮食安全。,实现这些目标所需的手段得到发展，食品安全也得以实现。,1
726,盖很快就被视为欧洲计划的皇冠上的明珠。,很快，共同农业政策就被视为欧洲计划中的皇冠上的宝石。,1
727,由于欧盟已经发展和扩大，粮食系统变得越来越复杂，涉及生产，加工，供应链组织，批发及零售，与所有喜欢的健康和环境，这些涉及到的新问题。,随着欧盟的演化与扩张，食品体系也变得更加复杂，这一体系不但包含了生产、加工、供应链组织以及批发和零售配销等环节，而且每一环节又涉及诸如健康、环保等新的问题；,1
728,土地的使用也受到越来越严重的审查。,对土地的使用也受到更为认真的监控。,1
729,1991年的研究由荷兰科学委员会的政府政策，题目,1991年由荷兰政府政策科学委员会进行的一次名为,1
730,这些数字是15个国家的欧盟，所以今天的27名成员的可能性更大。,这些数据还只是针对彼时只有15个成员的欧盟，如今欧盟已扩大为27国，因此其潜在可能变得更为巨大。,1
731,土地利用的荷兰的分析表明，通过采用最好的土地上最好的技术和生态手段，可观的收益，可以在食品生产制造。,一份荷兰的土地使用分析已经表明，通过在最好的可使用土地上运用最佳的技术与生态手段，食物生产可以显著增加。,1
732,因此，这并不奇怪，需要农民的数量已经大幅下降。,因此，所需农民数量也已经显著减少这一点不再令人吃惊。,1
733,从粮食安全和农村财富的观点来看，现在迫切需要重新审视CAP的主要工具，这样可以引入新的政策公式。,从食品安全与农村地区财富状况的角度看，目前，重访共同农业政策的主要手段以引入新的政策方案的需求颇为迫切。,1
734,不正当补贴必须拆除和最近新的有利于产品如重新考虑生物燃料。,不当的补贴必须取消，近来有利于生物燃料等产品的新补贴则需加以重新考虑。,1
735,该,但这一态度正有损于变化。 竞争必须加以鼓励，因为更多的农村企业活动将强化农业社群，使得农民数量减少，而农场变得更好。,1
736,简化CAP将鼓励更清洁，更高效，高效农业。,一个简化版的共同农业政策将鼓励更为清洁、更加多产并且高效的农业。,1
737,对于欧盟在世界上的地位的一个附带好处可能是，一旦发展中国家的农民可以放心让来自欧洲的公平交易的世界贸易组织多哈回合陷入僵局的谈判能够重新启动。,对于欧盟在世界上的地位而言，此举还有一个额外益处，那就是一旦发展中国家的农民得到保证，将获得来自欧洲的公平待遇后，世界贸易组织陷于中止的多哈谈判就能重新启动。,1
738,而且，一旦续约政策到位的CAP的政治和社会一体化的欧洲电机的作用可以恢复。,而且只要更新后的政策就位，共同农业政策在欧洲政治与社会整合过程中所扮演的发动机角色就能恢复。,1
739,但是这种更新不能听任全球市场力量，因为其结果可能不一定有利于欧洲农业与社会。,不过此类更新不能听任全球市场力量的摆布，因为其结果可能并不一定有利于欧洲农业与社会。,1
740,如果市场“行为不端”，农民可以减少贫困，导致欧洲大部分地区的忽视。,如果市场“运作失当”，农民就会陷入贫困，并导致欧洲大片地区受到忽视。,1
741,这是一个真正的危险够到政策制定者必须给予他们改革的以下五个支柱的基础上，CAP认真思考。,这是决策者们根据以下五条重要原则改革共同农业政策时必须严肃加以考虑的、足够真切的危险。,1
742,1.欧盟需要一个增强欧洲农业的竞争力知识和创新政策。,1、欧盟需要一个增强欧洲农业竞争力的知识与创新政策。,1
743,这一政策已成功地在荷兰，该国的农业综合企业的发展和电力极大地促进。,这一政策曾在荷兰取得成功，对该国农业综合企业的发展与实力贡献良多。,1
744,荷兰农业综合企业的21个分支，包括园艺种子，观赏植物，种薯，和小牛肉十，是杰出贡献者对国民经济和国家的贸易平衡之中。,荷兰农业综合企业21个分支中的10个（包括园艺育种、观赏植物、种用马铃薯与小牛肉）位列对该国经济与贸易收支平衡贡献最大的产业之中。,1
745,在欧盟作为一个整体，一个对朝政策研究项目促进科学成就和更大的一致性欧洲知识体系，将大大加强农业的竞争力，指导和促进粮食安全和可持续发展。,欧盟作为整体而言，导向刺激科学卓越成就与欧洲知识体系内更高一致性的研究项目的政策将极大地增强农业竞争力并有助于食品安全和可持续发展。,1
746,2，欧洲也需要对土地利用结构调整政策。,2、欧洲也需要一个关于土地使用的重组政策。,1
747,许多结构改进计划的经费已经在欧洲的水平，但农业生产和土地利用不在其中。,在欧洲层面已有许多结构性改进项目得到资助，但农业生产与土地使用却不在其中。,1
748,农业主体结构的发展将恭维欧洲生态主体结构。,农业主体结构的发展将补全欧洲主体生态结构。,1
749,再造林和自然生态系统的修复也应该是土地使用政策的一部分。,重新造林与自然生态系统的修复也应当被纳入土地使用政策之中。,1
750,3.欧洲食品体系的策略会像对待生产，加工，配送，物流，并结合零售。,3、关于欧洲食品体系的政策应对生产、加工、分配、物流以及零售诸环节进行联合考虑。,1
751,消费模式和偏好这样的系统的一个组成部分。,消费模式与偏好也是这类体系不可或缺的一部分。,1
752,由欧洲科学基金会的“前瞻欧洲粮食系统”初步研究可以证明在制定欧盟范围内的政策是有用的。,欧洲科学基金会所做的初步研究 ——“对欧洲食品体系的展望”将为欧盟范围的政策创制提供帮助。,1
753,4.都市农业在快速城市化的世界可以在少量的土地提供高品质的产品。,4、在一个高速城市化的世界中，都市型农业能凭借少量的土地供应高质量的农产品。,1
754,它提供了一个答案，对健康食品的需求以最小的环境副作用上升。,这为如何满足对健康食品不断增长的需求，同时又对环境的副作���最小这一问题提供了一个答案。,1
755,5.新的CAP应包括政策，以保障欧洲的景观。,5、新的共同农业政策应当包含一个保护欧洲地形的方案。,1
756,但文化遗产不应该处处维护，也不应该忽略的成本。,但并非各处都应保留文化遗产，也不该忽视其成本。,1
757,它不应该是趋于集中在劣质土地之类的防御政策。,同时它还不应该成为一个趋向全力聚焦于贫瘠土地的防御性政策。,1
758,这五大支柱涉及激烈的选择，但他们可能会需要较少的资金从欧洲的纳税人，而不是更多。,上述五条重要原则涉及到激烈的选择，但它们可能只需欧洲纳税人付出更少的资金，而非更多。,1
759,他们可以做出更清洁，更高效，高效农业和土地使用真正的贡献，同时解决社会需求。,它们将对更为清洁、更加多产并且高效的农业与土地使用做出真正的贡献，并能兼顾社会的需求。,1
760,的突破反饥饿,突破饥饿危机,1
761,纽约 - 当今世界饥饿危机的严重程度前所未有，需要采取紧急措施。,纽约—当今世界饥饿危机的严重程度前所未有，已是当务之急。,1
762,近十亿人被困在长期饥饿 - 或许有100万次以上两年前。,近十亿人在忍受着长期饥饿的煎熬—这样的人口很可能比两年前增加了一亿。,1
763,西班牙正在全球领导力在通过邀请世界各国领导人马德里在一月下旬到言语付诸行动消除饥饿。,西班牙正在对抗饥饿方面起着全球性的领导作用。 它将邀请世界各国领导人于一月底汇聚马德里，将言语付诸行动。,1
764,在西班牙的领导和联合国秘书长潘基文的支持下，几个捐助国政府提议将他们的财政资源，使世界上最贫穷的农民可以种植更多粮食，从而摆脱贫困陷阱。,在西班牙的领导和联合国秘书长潘基文的支持下，几个捐助国政府正协商着将他们的财政资源集中起来以便让世界上最贫困的农民能够种植更多的粮食，从而摆脱贫穷的陷阱。,1
765,一些捐助帮助的好处是可以显着。,捐助国的支援所带来的好处是不言而喻的。,1
766,在非洲，海地和其他贫困地区农民种植目前他们的作物没有的高产种子和化肥的好处。,非洲、海地和其他贫困地区目前都在没有高产种子和化肥的情况下种植作物。,1
767,其结果是产量（例如，玉米），其是大约三分之一小于在有更好的农业投入来实现。,其结果就是粮食产量（例如玉米）比在有更好的农业投入的情况下大约要少三分之一。,1
768,非洲农民生产只有约一吨每公顷谷物，在中国，那里的农民大量施用化肥每公顷超过四吨。,相较于大量施用化肥的中国农民每公顷四吨的产量，非洲农民每公顷的粮食产量只有约一吨。,1
769,非洲农民知道他们需要的肥料;他们只是买不起。,非洲农民知道他们需要化肥，只是买不起。,1
770,在捐助者的帮助下，他们可以。,有了捐助国的帮助，他们就能用上化肥了。,1
771,不仅这些农民再喂他们的家庭，但他们也可以开始获得市场收益，并为将来储蓄。,到那时，这些农民不仅能养家糊口，还能开始赚取市场收入并为未来而储蓄。,1
772,通过在几年内增加储蓄，农民最终成为信用，或者有足够的现金来购买自己必需的农业投入。,有了几年的积蓄，这些农民最终能够成为具有银行信用的人，或者有足够的现金自行购买必需的农业投入。,1
773,现在有许多关于需要为小农户（拥有两公顷土地，或贫困牧民以下），这是在非洲尤为迫切增加捐助资金广泛的共识。,现今的一个广泛共识是捐助融资对非洲小农户（拥有两公顷或以下土地，或者是贫穷的畜牧业者）的必要性和急迫性。,1
774,联合国秘书长领导的一个指导小组去年确定了非洲农业需要$ 8十亿每年各地的捐助融资 - 当前共有大约4倍 - 而重中之重是改良的种子，化肥，灌溉系统和延伸培训。,联合国秘书长领导的一个指导小组去年得出的结论是非洲农业每年需要约八十亿的捐助融资—大约是现有规模的四倍—而重中之重是改良的种子、化肥、灌溉系统和延伸培训。,1
775,除了直接帮助小农场，捐助者应提供的研究和开发，以确定新的高产种子品种需要，特别是培育能够耐受暂时的洪涝，过量的氮，咸土壤，作物病虫害植物更多的帮助，和其他挑战可持续的粮食生产。,除了对小农场的直接援助外，捐助方还应该在必需的研发方面给予更多的帮助，从而开发更多种类的新高产种子，特别是用以培育能够耐受暂时的洪涝、过量的氮、盐质土壤、害虫和其他可持续粮食生产所面临的挑战的作物。,1
776,帮助穷人以当今的技术，而在未来的改进技术的投资，是劳动分工最佳。,以当今的技术帮助穷人，同时投资于未来更好的技术是最佳的分工。,1
777,这项投资的回报极为可观，与科研中心，如国际水稻研究所和国际玉米和小麦改良中心提供高产种子和创新农业战略，共同引发了亚洲绿色革命。,有了如国际水稻研究所和国际玉米及小麦研究所这些提供高产种子和创新农业战略，并共同引发了亚洲“绿色革命”的研究中心，这种投资的回报极为可观。,1
778,这些中心并非家喻户晓，但他们值得。,这些中心并非人尽皆知，但它们的确是无名英雄。,1
779,它们的科学突破帮助我们养活了世界，我们需要更多的人。,它们的科学突破帮助我们养活了全世界的人口，这样的机构应该更多一些。,1
780,低收入缺粮国，可能多达40-50数十，已经由小农场了旨在增加粮食产量的紧急计划，但目前持有的缺乏捐助资金回来。,数十个低收入、粮食赤字的国家（可能有四十到五十个）已经宣布了旨在增加小农场粮食产量的紧急计划，但却由于缺少捐助方的资金支持而力不从心。,1
781,这些国家向世界银行融资，银行通过其新的全球粮食危机应对计划（GFCRP）做了一个勇敢的努力在2008年帮助。,这些国家向世界银行请求融资，而该行在2008年也不遗余力地通过其新的“全球粮食危机响应计划” (GFCRP) 提供了帮助。,1
782,但银行还没有足够的资金来满足这些国家的迫切需求，而不得不比援助，可能是有效和可靠地使用流的一小部分。,但世行资金在满足这些国家的紧急需求方面也是捉襟见肘，并不得不对援助资金进行配额限制，使得其数额相对于原本所需的可靠而有效资金量而言只是杯水车薪。,1
783,数以亿计的人，在此期间，仍然在饥饿中挣扎。,同时，近十亿人则在饥饿中挣扎。,1
784,许多捐助国都各自宣称，他们正在准备加大对小规模农业的财政支持，但正在寻找合适的机制来做到这一点。,许多捐助国都各自宣称正准备增加对小型农业的资金支持，但现在正寻求一种合适的实施机制。,1
785,目前的援助结构是不够的。,目前的援助架构尚有欠缺。,1
786,在20多个双边和多边的农业援助机构则高度分散，规模不足的个人和集体。,二十余家双边和多边的农业援助机构则高度分散，其规模不论个体还是集体都尚显不足。,1
787,尽管许多专业人士的不懈努力，到饥饿危机的反应仍然是杯水车薪。,尽管许多专业人士付出了巨大的努力，但对饥饿危机的响应仍然远远不足。,1
788,2008年的种植季节来了与贫困的小农户们太少额外的帮助去了。,2008年的种植季节来了又去，贫穷的小农户们在此期间所获得的额外援助仍是少之又少。,1
789,非洲国家搜索不休，也几乎无果，对于少量的资金需求为他们购买化肥和良种的。,非洲国家无尽地，也几乎无果地寻求着购买化肥和良种所需的小额资金。,1
790,我和我的同事，服务上为西班牙主动的顾问委员会，已经建议捐助者他们的资金集中到一个单一的国际账户，我们称之为金融协调机制（FCM）。,作为西班牙政府此项计划的顾问委员会成员，我和我的同事们建议捐助方将他们的资金集中到同一个被我们称为“融资协调机制(FCM)”的国际账户。,1
791,这些集中起来的资金能让贫穷国家的农民获得化肥，良种，和小规模灌溉设备，他们迫切需要。,这些集中起来的资金能让贫穷国家的农民获得急需的化肥、良种和小型灌溉设备。,1
792,穷国能从一个单一账户收到的农业投入及时和可预测的资金，而不是从数十种不同的和零散的捐助者。,穷国能从一个统一账户而不是数十个各自为政且高度分散的捐助方获得即时和可预见的农业投入融资。,1
793,通过整合财政资源集中到单个FCM捐助，援助计划的行政费用可以保持在较低水平，援助资金的也能得到保证，而穷国也不必为了得到帮助洽谈25次。,通过将财政资源集中到一个统一的捐助方FCM，可以保持较低的援助计划行政成本，援助资金流的持续性也能得到保证，而穷国也不必为了获得援助而进行二十五次谈判。,1
794,像往常一样的时间用于业务结束。,按部就班的时代一去不返。,1
795,捐助者承诺到2010年，以双对非洲的援助，但仍远远偏离了轨道。,捐助方承诺到2010年将援助资金增加一倍，但现在仍是任重道远。,1
796,事实上，在过去的20年中，他们实际上削减了农业计划的援助，现在才当然倒车。,的确，在过去的二十年里，他们实际上削减了农业计划的援助资金，直到现在才开始回到正轨。,1
